fips_id	precinct_number	precinct	population_total	population_black	population_asian	population_white	population_multiracial	population_other	population_hispanic	housing_units
51810	75	COLONY	4505	71	106	3963	311	54	221	2245
51810	76	VILLAGE	5615	1938	266	2505	605	301	651	2794
51810	77	BROOKWOOD	5191	989	257	3107	617	221	558	2250
51810	78	INDIAN LAKES	3802	778	445	2057	441	81	365	1330
51810	79	PLEASANT HALL	5228	1853	350	2283	528	214	481	2212
51810	81	ROCK LAKE	5321	1153	894	2442	564	268	574	1828
51810	82	SHELBURNE	3599	393	301	2414	432	59	262	1203
51810	83	STRAWBRIDGE	5086	396	262	3722	581	125	377	1718
51810	84	TALLWOOD	4794	1338	900	1948	457	151	497	1964
51810	85	UPTON	5541	285	268	4314	575	99	411	2076
51810	86	HAYGOOD	4247	573	586	2748	248	92	209	2024
51810	87	HILLCREST	3888	659	612	2103	401	113	305	1197
51810	88	NORTH LANDING	5419	1102	295	3511	394	117	335	1428
51810	89	LAKE CHRISTOPHER	3817	602	404	2314	417	80	251	1442
51810	90	LAKE JOYCE	2815	123	47	2415	190	40	120	1415
51810	91	LEXINGTON	5258	1356	438	2685	542	237	530	2089
51810	92	LITTLE NECK	2850	175	192	2249	183	51	147	1122
51810	93	NEWTOWN	6694	3746	356	1676	545	371	814	3145
51810	94	PINEWOOD	2452	442	78	1581	254	97	204	1148
51820	1	WARD A	5205	861	21	3409	494	420	736	2441
51820	2	WARD B	5303	445	27	4249	400	182	386	2531
51820	3	WARD C	5660	969	61	3899	448	283	550	2547
51820	4	WARD D	6028	397	151	5005	351	124	273	2749
51830	1	STRYKER	8762	2274	410	4834	770	474	938	4371
51840	101	MERRIMANS	3892	165	147	3279	206	95	178	1832
51840	201	VIRGINIA AVENUE	6910	1154	87	3455	669	1545	2023	3005
51840	301	WAR MEMORIAL	6844	808	79	4099	664	1194	1796	2459
51840	401	FREDERICK DOUGLASS	3663	340	90	2193	339	701	943	1811
51109	302	PATRICK HENRY #2	1204	221	5	866	69	43	53	539
51013	51	TAYLOR	947	19	115	749	58	6	40	748
51041	109	ELIZABETH SCOTT	7747	1984	614	4015	624	510	862	2970
51041	112	CARVER	4015	1310	70	2121	305	209	325	1473
51041	307	COSBY	8778	1185	508	6106	762	217	601	2904
51059	238	CAMERON GLEN	5587	329	645	4046	471	96	400	3935
51059	331	SPRING HILL	2979	41	724	1943	242	29	132	1034
51121	204	PRECINCT B-4	5206	271	218	4342	296	79	219	2258
51153	202	MARSHALL	4840	430	209	3010	577	614	1007	1464
51153	309	ASHLAND	3228	683	177	1826	440	102	409	927
51153	310	FOREST PARK	4103	1654	409	1333	466	241	567	1341
51153	311	SWANS CREEK	8256	3398	1020	2301	919	618	1282	2564
51059	629	SOUTH COUNTY	5110	852	849	2655	594	160	497	2151
51085	507	LAUREL MEADOW	3273	201	77	2729	198	68	126	1257
51093	201	BARTLETT	4465	693	50	3349	283	90	183	1760
51107	114	DULLES SOUTH	5539	470	2651	1766	497	155	405	1700
51107	117	CARTER	2991	462	1069	974	311	175	378	1083
51840	102	OLD TOWN	2951	171	41	2457	204	78	191	1528
51001	403	SAXIS	408	14	4	361	15	14	23	351
51001	602	TANGIER	438	0	2	428	8	0	0	273
51003	306	PORTERS	2295	464	7	1628	150	46	117	1088
51003	307	YELLOW MOUNTAIN	933	22	6	839	61	5	18	427
51035	105	FANCY GAP	1345	7	0	1279	40	19	27	1244
51041	415	EVERGREEN	4606	497	241	3475	310	83	226	1757
51053	303	LITTLE ZION	2695	916	6	1626	115	32	53	1190
51059	131	EAGLE VIEW	6018	511	1642	3011	624	230	597	2554
51059	132	MONUMENT	8350	1015	2442	3820	861	212	749	3897
51059	240	COLVIN	3465	83	788	2222	314	58	203	1107
